,State (light / oncoming / right / left),action,reward
115,"('green', None, None, 'forward', 'left')",left,1.18546676785
116,"('green', None, 'right', 'left', 'forward')",,0.0
117,"('green', None, 'left', None, 'left')",,0.0
118,"('green', None, None, None, 'forward')",left,0.033887127712
119,"('green', None, 'forward', None, 'forward')",forward,2.20775782486
120,"('green', 'forward', None, None, 'forward')",right,-0.1
121,"('green', None, 'right', None, 'right')",,0.0
122,"('red', None, None, None, 'forward')",forward,-0.994097041896
123,"('red', None, None, 'right', 'left')",left,-0.2
124,"('red', None, None, None, 'right')",,0.384917862836
125,"('green', None, 'left', None, 'forward')",right,-0.0309262425293
126,"('red', None, None, 'forward', 'forward')",right,-0.2
127,"('red', None, 'right', None, 'forward')",forward,-0.2
128,"('green', 'forward', None, 'forward', 'forward')",right,-0.1
129,"('red', None, None, 'left', 'forward')",left,-0.2
130,"('green', None, 'left', None, 'right')",,0.0
131,"('red', None, 'forward', None, 'forward')",left,-0.2
132,"('green', None, 'forward', None, 'forward')",,0.172392697404
133,"('red', 'forward', None, None, 'left')",,0.0
134,"('green', 'left', None, None, 'right')",,0.0
135,"('red', None, 'forward', None, 'left')",forward,-0.2
136,"('green', None, 'right', 'left', 'forward')",right,0.0100497847938
137,"('red', None, None, 'left', 'left')",,0.0
138,"('green', None, None, 'left', 'left')",left,1.23163963521
139,"('red', None, None, 'forward', 'forward')",forward,-0.2
140,"('red', 'left', None, None, 'left')",left,-0.2
141,"('green', None, None, None, 'left')",right,-0.073101248512
142,"('red', None, 'right', None, 'forward')",left,-0.2
143,"('green', 'right', None, None, 'left')",left,-0.2
144,"('green', None, None, 'left', 'forward')",left,-0.1
